distance_km,is_cross_border,type_encoded,capacity,load_factor,passengers_estimated,service_ratio,is_underserved,service_type_encoded,distance_category_encoded,operator_encoded,origin_country_encoded,destination_country_encoded,is_domestic,distance_per_capacity,passengers_per_km
59.52,0,0,500,0.597114453552205,298,0.596,0,0,0,65,7,7,1,0.11904,5.006720430107527
41.82,0,0,500,0.6911272456051595,345,0.69,0,0,0,65,7,7,1,0.08364,8.249641319942612
38.26,0,0,500,0.5889578175014489,294,0.588,1,0,0,6,3,3,1,0.07651999999999999,7.684265551489807
436.05,0,0,500,0.6604431797502378,330,0.66,0,0,1,62,7,7,1,0.8721,0.7567939456484348
521.65,0,1,400,0.6020164938060112,240,0.6,0,1,1,64,7,7,1,1.304125,0.4600785967602799
239.75,0,0,500,0.5835906975550785,291,0.582,0,0,2,62,7,7,1,0.4795,1.2137643378519292
410.0,0,0,500,0.6598430617934562,329,0.658,0,0,1,62,7,7,1,0.82,0.802439024390244
486.01,0,0,500,0.6869233289997705,343,0.686,0,0,1,62,7,7,1,0.97202,0.7057467953334293
410.37,0,0,500,0.6585684140594985,329,0.658,0,0,1,62,7,7,1,0.82074,0.8017155250140118
399.75,0,0,500,0.644217585880588,322,0.644,0,0,2,62,7,7,1,0.7995,0.8055034396497811
669.72,0,0,500,0.7349448152205356,367,0.734,0,0,1,62,7,7,1,1.33944,0.5479902048617332
634.09,0,0,500,0.6760739004816286,338,0.676,0,0,1,62,7,7,1,1.26818,0.5330473592076834
631.12,0,0,500,0.7140077895802646,357,0.714,0,0,1,62,7,7,1,1.26224,0.5656610470275066
610.29,0,0,500,0.7269680614520106,363,0.726,0,0,1,62,7,7,1,1.22058,0.5947991938258861
364.19,0,0,500,0.7028561113109458,351,0.702,0,0,2,62,7,7,1,0.72838,0.9637826409291853
690.2,0,0,500,0.7671809144784231,383,0.766,0,0,1,62,7,7,1,1.3804,0.5549116198203419
701.77,0,0,500,0.6618479922318633,330,0.66,1,0,1,62,7,7,1,1.40354,0.470239537170298
327.93,0,0,500,0.6662041984697398,333,0.666,0,0,2,62,7,7,1,0.65586,1.015460616595005
702.63,0,0,500,0.7307458859791842,365,0.73,0,0,1,62,7,7,1,1.40526,0.5194768227943584
669.67,0,0,500,0.716153899984702,358,0.716,0,0,1,63,3,3,1,1.33934,0.5345916645511969
26.29,0,0,500,0.6805838144420434,340,0.68,0,0,0,57,3,3,1,0.05258,12.93267402054013
29.77,0,0,500,0.7015499761247975,350,0.7,0,0,0,57,3,3,1,0.059539999999999996,11.75680214981525
26.31,0,0,500,0.6965640059558099,348,0.696,0,0,0,57,3,3,1,0.05262,13.226909920182441
28.51,0,0,500,0.608039123838868,304,0.608,0,0,0,57,3,3,1,0.05702,10.662925289372149
12.5,0,0,500,0.6345393812074392,317,0.634,0,0,0,57,3,3,1,0.025,25.36
62.35,0,0,500,0.6665631715701782,333,0.666,0,0,0,62,7,7,1,0.1247,5.340817963111467
115.92,0,1,400,0.6487772563561179,259,0.6475,0,1,0,64,7,7,1,0.2898,2.2342995169082127
79.65,0,0,500,0.6260412881077355,313,0.626,0,0,0,62,7,7,1,0.15930000000000002,3.929692404268675
74.64,0,0,500,0.6407170511668092,320,0.64,0,0,0,62,7,7,1,0.14928,4.287245444801715
48.71,0,0,500,0.5946832512996986,297,0.594,0,0,0,62,7,7,1,0.09742,6.097310613836994
40.1,0,0,500,0.5901896687959665,295,0.59,0,0,0,62,7,7,1,0.08020000000000001,7.356608478802992
61.43,0,0,500,0.69062629111971,345,0.69,0,0,0,62,7,7,1,0.12286,5.616148461663682
531.31,0,1,400,0.7678120014285411,307,0.7675,0,1,1,64,7,7,1,1.3282749999999999,0.5778170935988407
109.13,0,0,500,0.6463994939209833,323,0.646,0,0,0,62,7,7,1,0.21825999999999998,2.9597727480985982
94.09,0,0,500,0.7001766448946012,350,0.7,0,0,0,62,7,7,1,0.18818000000000001,3.719842703794239
17.3,0,0,500,0.6680818012523817,334,0.668,0,0,0,79,3,3,1,0.0346,19.30635838150289
46.58,0,0,500,0.6177440122697438,308,0.616,1,0,0,57,3,3,1,0.09315999999999999,6.612279948475741
15.18,0,0,500,0.6680697802754207,334,0.668,0,0,0,79,3,3,1,0.030359999999999998,22.00263504611331
10.51,0,0,500,0.7269018283232985,363,0.726,0,0,0,79,3,3,1,0.02102,34.53853472882969
53.3,0,0,500,0.6482086980445024,324,0.648,0,0,0,62,7,7,1,0.1066,6.078799249530957
28.14,0,0,500,0.7282321827907003,364,0.728,1,0,0,62,7,7,1,0.056280000000000004,12.935323383084576
58.17,0,0,500,0.5190127447955128,259,0.518,0,0,0,68,3,3,1,0.11634,4.452466907340553
90.23,0,0,500,0.6910951252187613,345,0.69,0,0,0,57,3,3,1,0.18046,3.823562008201263
32.72,0,0,500,0.6543523534119086,327,0.654,0,0,0,68,3,3,1,0.06544,9.993887530562347
78.56,0,0,500,0.6350496324767066,317,0.634,0,0,0,57,3,3,1,0.15712,4.035132382892057
32.39,0,0,500,0.6545880388267752,327,0.654,0,0,0,62,7,7,1,0.06478,10.095708552022229
816.38,0,0,500,0.6506215542699554,325,0.65,1,0,3,62,7,7,1,1.63276,0.39809892452044393
640.65,0,0,500,0.7390164056081244,369,0.738,0,0,1,62,7,7,1,1.2812999999999999,0.5759775228283774
25.04,0,0,500,0.6678556285755873,333,0.666,0,0,0,62,7,7,1,0.05008,13.298722044728436
18.58,0,0,500,0.7238947022370759,361,0.722,0,0,0,62,7,7,1,0.03716,19.429494079655544
28.93,0,0,500,0.6240864890863177,312,0.624,0,0,0,62,7,7,1,0.05786,10.784652609747667
67.43,0,0,500,0.6095753198553406,304,0.608,0,0,0,62,7,7,1,0.13486,4.508379059765683
13.02,0,0,500,0.6249121478207732,312,0.624,0,0,0,62,7,7,1,0.02604,23.963133640552996
81.9,0,0,500,0.6957701058851037,347,0.694,0,0,0,62,7,7,1,0.1638,4.236874236874237
440.74,0,0,500,0.6664375554829842,333,0.666,0,0,1,63,3,3,1,0.88148,0.7555474883151064
440.8,0,0,500,0.6235119898116481,311,0.622,0,0,1,62,7,7,1,0.8816,0.705535390199637
116.01,0,0,500,0.6756633716556678,337,0.674,0,0,0,63,3,3,1,0.23202,2.904921989483665
116.0,0,0,500,0.6548538774674021,327,0.654,1,0,0,62,7,7,1,0.232,2.8189655172413794
27.23,0,0,500,0.6984322495266445,349,0.698,0,0,0,65,7,7,1,0.05446,12.816746235769372
23.73,0,0,500,0.6148973453061324,307,0.614,0,0,0,62,7,7,1,0.04746,12.937210282343026
14.1,0,0,500,0.6336168926701116,316,0.632,1,0,0,62,7,7,1,0.0282,22.411347517730498
547.34,0,0,500,0.7303945923433921,365,0.73,0,0,1,62,7,7,1,1.09468,0.666861548580407
60.36,0,0,500,0.5768242525933941,288,0.576,1,0,0,62,7,7,1,0.12072,4.7713717693836974
64.94,0,0,500,0.6648060138532288,332,0.664,0,0,0,62,7,7,1,0.12988,5.112411456729289
28.84,0,0,500,0.6630527636089945,331,0.662,0,0,0,20,3,3,1,0.05768,11.477115117891817
19.93,0,0,500,0.650255672832123,325,0.65,0,0,0,20,3,3,1,0.03986,16.30707476166583
88.79,0,0,500,0.6382706433312427,319,0.638,0,0,0,62,7,7,1,0.17758000000000002,3.5927469309606934
86.71,0,0,500,0.5792314628974793,289,0.578,0,0,0,62,7,7,1,0.17342,3.332948910160305
49.23,0,0,500,0.6289677338617321,314,0.628,0,0,0,62,7,7,1,0.09845999999999999,6.378224659760309
25.81,0,0,500,0.6328642741736615,316,0.632,0,0,0,62,7,7,1,0.05162,12.243316543975205
124.25,0,1,400,0.559886136538919,223,0.5575,0,1,0,64,7,7,1,0.310625,1.79476861167002
26.6,0,0,500,0.6419357144166996,320,0.64,1,0,0,62,7,7,1,0.053200000000000004,12.030075187969924
118.02,0,0,500,0.670202542840727,335,0.67,0,0,0,62,7,7,1,0.23604,2.8385019488222336
69.64,0,0,500,0.7443092950605266,372,0.744,0,0,0,45,7,7,1,0.13928000000000001,5.341757610568639
63.84,0,0,500,0.658728890641592,329,0.658,0,0,0,62,7,7,1,0.12768000000000002,5.1535087719298245
39.81,0,0,500,0.6628775195361383,331,0.662,0,0,0,62,7,7,1,0.07962000000000001,8.314493845767394
18.14,0,0,500,0.6462777042116916,323,0.646,0,0,0,57,3,3,1,0.03628,17.805953693495038
74.01,0,0,500,0.5540614392350479,277,0.554,0,0,0,57,3,3,1,0.14802,3.7427374679097416
56.24,0,0,500,0.6486743062275392,324,0.648,0,0,0,57,3,3,1,0.11248000000000001,5.761024182076813
16.35,0,0,500,0.6530115104970513,326,0.652,0,0,0,62,7,7,1,0.0327,19.938837920489295
20.81,0,0,500,0.7731621056242644,386,0.772,0,0,0,20,3,3,1,0.04162,18.548774627582894
56.29,0,0,500,0.6403819517609439,320,0.64,0,0,0,57,3,3,1,0.11258,5.684846331497602
47.1,0,0,500,0.6650773671166806,332,0.664,1,0,0,77,3,3,1,0.0942,7.048832271762208
48.18,0,0,500,0.6482644115147379,324,0.648,0,0,0,77,3,3,1,0.09636,6.724782067247821
31.64,0,0,500,0.5915660981190234,295,0.59,0,0,0,77,3,3,1,0.06328,9.323640960809103
15.06,0,0,500,0.7071411407257511,353,0.706,1,0,0,77,3,3,1,0.03012,23.43957503320053
40.01,0,0,500,0.6875966516343387,343,0.686,0,0,0,77,3,3,1,0.08002,8.57285678580355
41.47,0,0,500,0.6895515973521523,344,0.688,0,0,0,62,7,7,1,0.08294,8.29515312273933
44.0,0,0,500,0.6045306272602631,302,0.604,0,0,0,62,7,7,1,0.088,6.863636363636363
29.08,0,0,500,0.720139715546805,360,0.72,0,0,0,62,7,7,1,0.058159999999999996,12.379642365887209
29.0,0,0,500,0.579907446860386,289,0.578,0,0,0,62,7,7,1,0.058,9.96551724137931
61.77,0,0,500,0.6793428546900135,339,0.678,1,0,0,62,7,7,1,0.12354000000000001,5.488101019912579
35.94,0,0,500,0.759522781290499,379,0.758,0,0,0,62,7,7,1,0.07188,10.545353366722315
92.65,0,0,500,0.6004731837434656,300,0.6,0,0,0,62,7,7,1,0.18530000000000002,3.2379924446842954
43.15,0,0,500,0.6216851135198614,310,0.62,0,0,0,62,7,7,1,0.0863,7.184241019698725
55.61,0,0,500,0.6549825682543821,327,0.654,1,0,0,62,7,7,1,0.11122,5.8802373673799675
12.81,0,0,500,0.6248262172941901,312,0.624,0,0,0,45,7,7,1,0.02562,24.355971896955502
26.8,0,0,500,0.5724668284466934,286,0.572,0,0,0,45,7,7,1,0.0536,10.671641791044776
29.06,0,0,500,0.6534281487403014,326,0.652,0,0,0,63,3,3,1,0.05812,11.218169304886443
61.8,0,0,500,0.5968848143136948,298,0.596,0,0,0,63,3,3,1,0.12359999999999999,4.82200647249191
92.6,0,0,500,0.6736796215317591,336,0.672,0,0,0,63,3,3,1,0.18519999999999998,3.6285097192224622
43.04,0,0,500,0.6040287882883099,302,0.604,0,0,0,63,3,3,1,0.08608,7.016728624535316
55.61,0,0,500,0.727496720250877,363,0.726,0,0,0,63,3,3,1,0.11122,6.527602949109872
43.69,0,0,500,0.6108373353831882,305,0.61,0,0,0,57,3,3,1,0.08738,6.981002517738613
122.82,0,0,500,0.6338969241897162,316,0.632,0,0,0,18,5,5,1,0.24564,2.5728708679368184
548.92,0,0,500,0.7906758608684835,395,0.79,0,0,1,18,5,5,1,1.09784,0.7195948407782555
532.89,0,0,500,0.6884567841783023,344,0.688,0,0,1,18,5,5,1,1.06578,0.6455366023006625
544.54,0,0,500,0.7613729967302064,380,0.76,1,0,1,18,5,5,1,1.0890799999999998,0.6978367062107468
298.22,0,0,500,0.7153571377141215,357,0.714,0,0,2,18,5,5,1,0.5964400000000001,1.1971028100060357
55.51,0,0,500,0.5696258382719386,284,0.568,0,0,0,62,7,7,1,0.11102,5.116195280129706
104.29,0,1,400,0.6092316929266152,243,0.6075,0,1,0,64,7,7,1,0.26072500000000004,2.33004123118228
122.55,0,1,400,0.6129941397124211,245,0.6125,0,1,0,64,7,7,1,0.306375,1.9991840065279478
63.97,0,0,500,0.6890911435888656,344,0.688,0,0,0,65,7,7,1,0.12794,5.377520712834141
70.66,0,0,500,0.5881524644560959,294,0.588,0,0,0,62,7,7,1,0.14132,4.160769883951317
77.24,0,0,500,0.5839771693457863,291,0.582,0,0,0,62,7,7,1,0.15447999999999998,3.767477990678405
126.82,0,0,500,0.6760970782808449,338,0.676,0,0,0,62,7,7,1,0.25364,2.665194764232771
84.2,0,0,500,0.6648492336616594,332,0.664,1,0,0,62,7,7,1,0.1684,3.9429928741092635
101.06,0,1,400,0.6125246425172938,245,0.6125,0,1,0,65,7,7,1,0.25265,2.424302394617059
99.54,0,0,500,0.6673224104748489,333,0.666,0,0,0,62,7,7,1,0.19908,3.345388788426763
99.05,0,0,500,0.6159987639210754,307,0.614,0,0,0,62,7,7,1,0.1981,3.099444724886421
112.41,0,1,400,0.6116126848580502,244,0.61,0,1,0,64,7,7,1,0.28102499999999997,2.170625389200249
71.09,0,0,500,0.6646536236649341,332,0.664,1,0,0,65,7,7,1,0.14218,4.670136446757631
74.99,0,0,500,0.6142824290986816,307,0.614,0,0,0,62,7,7,1,0.14998,4.093879183891186
100.25,0,1,400,0.6932887255572378,277,0.6925,0,1,0,64,7,7,1,0.250625,2.7630922693266835
75.54,0,0,500,0.6736916460455894,336,0.672,0,0,0,65,7,7,1,0.15108000000000002,4.447974583002383
176.21,0,0,500,0.5904348251398676,295,0.59,0,0,2,63,3,3,1,0.35242,1.674138811645196
104.5,0,0,500,0.6828276804316915,341,0.682,0,0,0,63,3,3,1,0.209,3.263157894736842
101.65,0,1,400,0.5512659164886339,220,0.55,1,1,0,64,7,7,1,0.254125,2.1642892277422527
153.65,0,0,500,0.6893542301871226,344,0.688,0,0,2,18,5,5,1,0.3073,2.2388545395379107
570.58,0,0,500,0.8079297789503702,403,0.806,0,0,1,18,5,5,1,1.1411600000000002,0.7062988537978898
573.83,0,0,500,0.7089658840824145,354,0.708,0,0,1,18,5,5,1,1.1476600000000001,0.6169074464562675
578.33,0,1,400,0.7481688064622161,299,0.7475,0,1,1,18,5,5,1,1.4458250000000001,0.5170058617052548
562.17,0,0,500,0.7706390463468249,385,0.77,0,0,1,18,5,5,1,1.12434,0.6848462208940357
573.87,0,0,500,0.7911030079997246,395,0.79,0,0,1,18,5,5,1,1.14774,0.6883091989474969
176.03,1,1,400,0.6948396491326974,277,0.6925,0,1,2,27,1,13,0,0.440075,1.5735954098733171
111.44,0,0,500,0.6377305941998564,318,0.636,0,0,0,19,13,13,1,0.22288,2.853553481694185
363.9,0,1,400,0.5623131917821255,224,0.56,0,1,2,43,5,5,1,0.90975,0.615553723550426
530.2,0,0,500,0.7055242785187238,352,0.704,0,0,1,18,5,5,1,1.0604,0.6639004149377593
328.58,0,0,500,0.6092094857517281,304,0.608,0,0,2,18,5,5,1,0.65716,0.9251932558281089
450.02,0,0,500,0.6461449145292948,323,0.646,0,0,1,18,5,5,1,0.90004,0.7177458779609796
213.71,0,0,500,0.6670575987408323,333,0.666,0,0,2,18,5,5,1,0.42742,1.558186327265921
417.72,1,0,500,0.663834539966501,331,0.662,0,0,1,27,7,13,0,0.8354400000000001,0.7923968208369242
484.58,0,0,500,0.6913591624518012,345,0.69,0,0,1,18,5,5,1,0.96916,0.7119567460481242
428.33,1,1,400,0.6006500945938953,240,0.6,0,1,1,27,13,7,0,1.070825,0.5603156444797236
357.02,1,0,500,0.7226767038578659,361,0.722,0,0,2,27,8,13,0,0.71404,1.0111478348551903
108.45,0,1,400,0.5867671583381022,234,0.585,0,1,0,96,0,0,1,0.271125,2.1576763485477177
32.25,0,0,500,0.786008458329481,393,0.786,0,0,0,62,7,7,1,0.0645,12.186046511627907
58.25,0,0,500,0.6812833673882503,340,0.68,0,0,0,62,7,7,1,0.1165,5.836909871244635
32.25,0,0,500,0.607142122179186,303,0.606,0,0,0,62,7,7,1,0.0645,9.395348837209303
58.25,0,0,500,0.5964553750969444,298,0.596,0,0,0,62,7,7,1,0.1165,5.115879828326181
34.19,0,0,500,0.6741236207621593,337,0.674,1,0,0,57,3,3,1,0.06838,9.856683240713659
48.29,0,0,500,0.6388268607337074,319,0.638,0,0,0,57,3,3,1,0.09658,6.605922551252847
52.43,0,0,500,0.6857000247046047,342,0.684,0,0,0,45,7,7,1,0.10486,6.522983024985695
52.54,0,0,500,0.6736618812286773,336,0.672,1,0,0,63,3,3,1,0.10507999999999999,6.395127521888085
42.25,0,0,500,0.6463585543671564,323,0.646,0,0,0,62,7,7,1,0.0845,7.644970414201183
58.39,0,0,500,0.6076603140965797,303,0.606,0,0,0,38,3,3,1,0.11678,5.189244733687275
21.37,0,0,500,0.5742576387657068,287,0.574,0,0,0,38,3,3,1,0.04274,13.430042115114647
22.47,0,0,500,0.627674252396649,313,0.626,0,0,0,38,3,3,1,0.04494,13.929684023141968
66.53,0,0,500,0.6928199397161736,346,0.692,1,0,0,38,3,3,1,0.13306,5.2006613557793475
30.92,0,0,500,0.6607046872065102,330,0.66,0,0,0,62,7,7,1,0.061840000000000006,10.672703751617076
41.98,0,0,500,0.5877130610644006,293,0.586,0,0,0,62,7,7,1,0.08395999999999999,6.9795140543115775
41.96,0,0,500,0.6586590462925591,329,0.658,0,0,0,62,7,7,1,0.08392000000000001,7.840800762631077
44.86,0,0,500,0.6692658689864419,334,0.668,0,0,0,62,7,7,1,0.08972,7.445385644226483
58.84,0,0,500,0.6058071281899433,302,0.604,0,0,0,62,7,7,1,0.11768,5.1325628823929295
187.06,0,0,500,0.6576862552972764,328,0.656,0,0,2,62,7,7,1,0.37412,1.753448091521437
50.26,0,0,500,0.6529104359223,326,0.652,0,0,0,62,7,7,1,0.10052,6.486271388778353
81.41,0,0,500,0.5928514851084689,296,0.592,0,0,0,62,7,7,1,0.16282,3.6359169635179955
79.16,0,0,500,0.6678893680174142,333,0.666,0,0,0,62,7,7,1,0.15832,4.2066700353714
262.62,0,0,500,0.6780392263184117,339,0.678,0,0,2,62,7,7,1,0.52524,1.29083847384053
42.54,0,0,500,0.7041525621587639,352,0.704,0,0,0,62,7,7,1,0.08508,8.274565115185707
59.41,0,0,500,0.7026901026017451,351,0.702,0,0,0,62,7,7,1,0.11882,5.908096280087528
94.37,0,0,500,0.5811165316021455,290,0.58,0,0,0,62,7,7,1,0.18874000000000002,3.0730104906220195
45.5,0,0,500,0.6031087480042439,301,0.602,0,0,0,62,7,7,1,0.091,6.615384615384615
13.95,0,0,500,0.675751763360433,337,0.674,0,0,0,62,7,7,1,0.027899999999999998,24.157706093189965
107.98,0,1,400,0.6256892975456104,250,0.625,0,1,0,64,7,7,1,0.26995,2.315243563622893
132.88,0,0,500,0.6757523843153024,337,0.674,0,0,0,62,7,7,1,0.26576,2.536122817579771
116.79,0,0,500,0.8426365745327361,421,0.842,0,0,0,62,7,7,1,0.23358,3.6047606815652022
87.82,0,0,500,0.6785445255346584,339,0.678,1,0,0,62,7,7,1,0.17564,3.860168526531542
104.08,0,0,500,0.7067782820090299,353,0.706,0,0,0,62,7,7,1,0.20815999999999998,3.391621829362029
91.89,0,0,500,0.6977000881746601,348,0.696,0,0,0,62,7,7,1,0.18378,3.7871367939928176
61.68,0,0,500,0.6825695625652899,341,0.682,0,0,0,62,7,7,1,0.12336,5.528534370946822
34.21,0,0,500,0.6342365377679827,317,0.634,0,0,0,62,7,7,1,0.06842000000000001,9.26629640456007
241.34,0,0,500,0.6879484610246633,343,0.686,0,0,2,62,7,7,1,0.48268,1.4212314576945388
39.99,0,0,500,0.6113587392731215,305,0.61,0,0,0,62,7,7,1,0.07998000000000001,7.62690672668167
58.21,0,0,500,0.6381590696629996,319,0.638,0,0,0,62,7,7,1,0.11642,5.4801580484452845
46.46,0,0,500,0.6257318226085449,312,0.624,0,0,0,62,7,7,1,0.09292,6.715454154111063
34.3,0,0,500,0.6540937069693161,327,0.654,0,0,0,62,7,7,1,0.0686,9.533527696793003
44.84,0,0,500,0.7657329283336755,382,0.764,0,0,0,62,7,7,1,0.08968000000000001,8.519179304192685
85.14,0,0,500,0.5566367403704127,278,0.556,0,0,0,62,7,7,1,0.17028000000000001,3.2652102419544278
23.16,0,0,500,0.6843130095187256,342,0.684,0,0,0,62,7,7,1,0.04632,14.766839378238341
99.06,0,0,500,0.5693642064405174,284,0.568,0,0,0,62,7,7,1,0.19812000000000002,2.866949323642237
98.78,0,0,500,0.6264034067105283,313,0.626,0,0,0,62,7,7,1,0.19756,3.168657623000607
414.77,0,1,400,0.6544475298483683,261,0.6525,0,1,1,64,7,7,1,1.0369249999999999,0.6292644116016105
431.99,0,0,500,0.6532140009547731,326,0.652,0,0,1,63,3,3,1,0.86398,0.7546470983124609
432.04,0,1,400,0.5461127611035347,218,0.545,0,1,1,64,7,7,1,1.0801,0.5045829089899083
14.14,0,0,500,0.6142348145370016,307,0.614,0,0,0,62,7,7,1,0.02828,21.71145685997171
44.84,0,0,500,0.6839798874467338,341,0.682,0,0,0,63,3,3,1,0.08968000000000001,7.604817127564674
144.67,0,0,500,0.6134816684141432,306,0.612,0,0,0,63,3,3,1,0.28934,2.1151586368977675
144.65,0,1,400,0.6108229294790988,244,0.61,0,1,0,64,7,7,1,0.36162500000000003,1.6868302799861734
33.34,0,0,500,0.6522785919951907,326,0.652,0,0,0,62,7,7,1,0.06668,9.778044391121774
33.11,0,0,500,0.6174199826197092,308,0.616,0,0,0,63,3,3,1,0.06622,9.30232558139535
74.01,0,0,500,0.7571972044662663,378,0.756,0,0,0,62,7,7,1,0.14802,5.10741791649777
13.66,0,0,500,0.6816959511159005,340,0.68,0,0,0,62,7,7,1,0.02732,24.890190336749633
34.27,0,0,500,0.5487428706671197,274,0.548,1,0,0,62,7,7,1,0.06854,7.99533119346367
48.45,0,0,500,0.6593227157384715,329,0.658,0,0,0,62,7,7,1,0.0969,6.790505675954592
119.04,0,0,500,0.6169106767615806,308,0.616,0,0,0,62,7,7,1,0.23808,2.5873655913978495
15.54,0,0,500,0.6926216667398112,346,0.692,1,0,0,62,7,7,1,0.03108,22.265122265122265
46.41,0,0,500,0.610373963078365,305,0.61,0,0,0,57,3,3,1,0.09282,6.571859513035984
65.74,0,0,500,0.6442631779266551,322,0.644,0,0,0,57,3,3,1,0.13147999999999999,4.898083358685732
48.44,0,0,500,0.6752493639490229,337,0.674,0,0,0,63,3,3,1,0.09688,6.957060280759703
58.95,0,0,500,0.6932877597085061,346,0.692,1,0,0,57,3,3,1,0.1179,5.869380831212892
26.67,0,0,500,0.5899851796472112,294,0.588,0,0,0,62,7,7,1,0.053340000000000005,11.023622047244094
11.22,0,0,500,0.6332749382079526,316,0.632,0,0,0,62,7,7,1,0.02244,28.163992869875223
57.49,0,0,500,0.6262527344419522,313,0.626,1,0,0,57,3,3,1,0.11498,5.444425117411724
82.1,0,0,500,0.6173335383713144,308,0.616,0,0,0,62,7,7,1,0.16419999999999998,3.751522533495737
17.35,0,0,500,0.7382727120140549,369,0.738,1,0,0,17,7,7,1,0.0347,21.26801152737752
59.49,0,0,500,0.6702490855480479,335,0.67,0,0,0,17,7,7,1,0.11898,5.631198520759791
86.37,0,0,500,0.5869558022832477,293,0.586,0,0,0,62,7,7,1,0.17274,3.3923816139863376
36.61,0,0,500,0.6958930973527389,347,0.694,0,0,0,67,7,7,1,0.07322,9.478284621688063
45.63,0,0,500,0.7561078098506318,378,0.756,0,0,0,67,7,7,1,0.09126000000000001,8.284023668639053
14.99,0,0,500,0.7016232630275574,350,0.7,0,0,0,0,3,3,1,0.02998,23.34889926617745
10.94,0,0,500,0.5740315017022993,287,0.574,0,0,0,0,3,3,1,0.02188,26.23400365630713
15.93,0,0,500,0.6257882963566874,312,0.624,0,0,0,62,7,7,1,0.03186,19.585687382297554
51.53,0,0,500,0.7133455574593311,356,0.712,0,0,0,62,7,7,1,0.10306,6.908596933824956
91.7,0,0,500,0.614616526719061,307,0.614,0,0,0,62,7,7,1,0.1834,3.3478735005452562
